name,logopath
Bayern Munich,"./images/FC Bayern München.png"
Real Madrid,./images/Real Madrid.png
Manchester City,./images/Manchester City.png
Barcelona,./images/FC Barcelona.png
Liverpool,./images/FC Liverpool.png
Paris Saint-Germain,./images/Paris Saint-Germain.png
Juventus,./images/Juventus Turin.png
Atletico Madrid,./images/Atletico Madrid.png
Tottenham Hotspur,./images/Tottenham Hotspur.png
Napoli,./images/SSC Napoli.png
AS Roma,./images/AS Roma.png
Arsenal,./images/FC Arsenal.png
Lazio,./images/Lazio Roma.png
Chelsea,./images/FC Chelsea.png
Borussia Dortmund,./images/Borussia Dortmund.png
Atalanta,./images/Atalanta Bergamo.png
FC Porto,./images/FC Porto.png
Manchester United,./images/Manchester United.png
Internazionale,./images/Inter Milan.png
Bayer Leverkusen,./images/Bayer 04 Leverkusen.png
Lyon,./images/Olympique Lyon.png
Valencia,./images/Valencia FC.png
Real Sociedad,./images/Real Sociedad.png
FC Salzburg,./images/FC Red Bull Salzburg.png
TSG Hoffenheim,./images/TSG Hoffenheim.png
CSKA Moscow,./images/CSKA Moskau.png
Schalke 04,./images/FC Schalke 04.png
Marseille,./images/Olympique Marseille.png
Sevilla FC,./images/FC Sevilla.png
Benfica,./images/Benfica.png
Shakhtar Donetsk,./images/FC Shakthar Donezk.png
Eibar,./images/SD Eibar.png
RB Leipzig,./images/RB Leipzig.png
Fenerbahce,./images/Fenerbahce.png
Real Betis,./images/Real Betis.png
Getafe,./images/Getafe.png
Villarreal,./images/Villarreal FC.png
Espanyol,./images/RCD Espanyol.png
Fiorentina,./images/Fiorentina.png
Athletic Bilbao,./images/Athletic Bilbao.png
Eintracht Frankfurt,./images/Eintracht Frankfurt.png
AS Monaco,./images/AS Monaco.png
VfB Stuttgart,./images/VfB Stuttgart.png
Werder Bremen,./images/Werder Bremen.png
Galatasaray,./images/Galatasaray Istanbul.png
Besiktas,./images/Besiktas.png
AC Milan,./images/AC Milan.png
Borussia Monchengladbach,./images/Borussia Mönchengladbach.png
Alavés,./images/Alaves.png
Zenit St Petersburg,./images/Zenit St. Petersburg.png
