german,english
Spanien,Spain
England,United Kingdom
Deutschland,Germany
Monaco,France
Frankreich,France
Wales,United Kingdom
Italien,Italy
Portugal,Portugal
China,China
Niederlande,Netherlands
Belgien,Belgium
Ukraine,Ukraine
Argentinien,Argentina
Türkei,Turkey
Schweiz,Switzerland
Griechenland,Greece
Brasilien,Brazil
Kroatien,Croatia
Russland,Russia
Mexiko,Mexico
Österreich,Austria
Dänemark,Denmark
Serbien,Republic of Serbia
Kolumbien,Colombia
Vereinigte Staaten,United States of America
Schottland,United Kingdom
Tschechien,Czech Republic
