place,team,wins,draws,losses,goals,conceded,goaldif,points,lon,lat
1,Bayern Munich,27,3,4,92,28,64,84,11.62605618029147,48.22014868029149
2,Schalke 04,18,9,7,53,37,16,63,7.06887518029157,51.5559798802915
3,TSG Hoffenheim,15,10,9,66,48,18,55,8.887690180291543,49.23999038029151
4,Borussia Dortmund,15,10,9,64,47,17,55,7.453206380291476,51.4939377802915
5,Bayer Leverkusen,15,10,9,58,44,14,55,7.1161303999999745,51.0972118
6,RB Leipzig,15,8,11,57,53,4,53,12.348789780291554,51.3469522802915
7,VfB Stuttgart,15,6,13,36,36,0,51,9.233428980291478,48.7936066802915
8,Eintracht Frankfurt,14,7,13,45,45,0,49,8.645472,50.068581
9,Borussia Monchengladbach,13,8,13,47,52,-5,47,6.386854480291504,51.1759187802915
10,Hertha Berlin,10,13,11,43,46,-3,43,13.239498700000013,52.5146971
11,Werder Bremen,10,12,12,37,40,-3,42,8.8389540802915,53.0677817802915
12,FC Augsburg,10,11,13,43,46,-3,41,10.886030300000016,48.3231683
13,Hannover 96,10,9,15,44,54,-10,39,9.73122490000003,52.360017
14,Mainz,9,9,16,38,52,-14,36,8.224381600000015,49.9839442
15,SC Freiburg,8,12,14,32,56,-24,36,7.892876999999999,47.988917
16,VfL Wolfsburg,6,15,13,36,48,-12,33,10.803933000000029,52.4324905
17,Hamburg SV,8,7,19,29,53,-24,31,9.898600399999964,53.5871279
18,FC Cologne,5,7,22,35,70,-35,22,6.875154500000008,50.93346090000001
