place,team,wins,draws,losses,goals,conceded,goaldif,points,lon,lat
1,Paris Saint-Germain,29,6,3,108,29,79,93,2.254397680291504,48.84278458029149
2,AS Monaco,24,8,6,85,45,40,80,7.415496,43.7384176
3,Lyon,23,9,6,87,43,44,78,4.983377980291493,45.76664398029149
4,Marseille,22,11,5,80,47,33,77,5.397236280291509,43.2711759802915
5,Stade Rennes,16,10,12,50,44,6,58,-1.7128682999999683,48.1074784
6,Bordeaux,16,7,15,53,48,5,55,-0.5615530000000035,44.897381
7,St Etienne,15,10,13,47,50,-3,55,4.39010559999997,45.4607541
8,Nice,15,9,14,53,52,1,54,7.192585000000008,43.705059
9,Nantes,14,10,14,36,41,-5,52,-1.5246749000000364,47.2560232
10,Montpellier,11,18,9,36,33,3,51,3.8120627000000695,43.6221434
11,Dijon FCO,13,9,16,55,73,-18,48,5.068328500000007,47.3243816
12,Guingamp,12,11,15,48,59,-11,47,-3.164384299999938,48.56608629999999
13,Amiens,12,9,17,37,42,-5,45,2.2628462000000127,49.8935857
14,Angers,9,14,15,42,52,-10,41,-0.5307940000000144,47.4604315
15,Strasbourg,9,11,18,44,67,-23,38,7.755123499999968,48.5600356
16,Caen,10,8,20,27,52,-25,38,-0.39670939999996335,49.1794872
17,Lille,10,8,20,41,67,-26,38,3.1304898999999295,50.6119667
18,Toulouse,9,10,19,38,54,-16,37,1.4340479999999616,43.5832972
19,Troyes,9,6,23,32,59,-27,33,4.09843479999995,48.3075473
20,Metz,6,8,24,34,76,-42,26,6.159414100000049,49.1097781
