place,name,wins,draws,losses,goals,conceded,goaldif,points,lon,lat
1,Manchester City,32,4,2,106,27,79,100,-2.1990463197084864,53.48448708029151
2,Manchester United,25,6,7,68,28,40,81,-2.290412519708525,53.1653447802915
3,Tottenham Hotspur,23,8,7,74,36,38,77,-0.0650323197085072,51.6056345802915
4,Liverpool,21,12,5,84,38,46,75,-2.9594810197085053,53.4321783802915
5,Chelsea,21,7,10,62,38,24,70,-0.20960751970848833,51.40301198029149
6,Arsenal,19,6,13,74,51,23,63,-0.10708901970849638,51.78623748029149
7,Burnley,14,12,12,36,39,-3,54,-2.2301735999999437,53.7890244
8,Everton,13,10,15,44,58,-14,49,-2.966319300000009,53.738787
9,Leicester City,12,11,15,56,60,-4,47,-1.1421894999999722,52.6203662
10,Newcastle,12,8,18,39,47,-8,44,-1.6216670000000022,54.975556
11,Crystal Palace,11,11,16,45,55,-10,44,-0.08548670000004677,51.1982531
12,AFC Bournemouth,11,11,16,45,61,-16,44,-1.8382791000000225,50.73523059999999
13,West Ham United,10,12,16,48,68,-20,42,0.23940239999997175,51.53195669999999
14,Watford,11,8,19,44,64,-20,41,-0.60152499999999236,51.6499059
15,Brighton and Hove Albion,9,13,16,34,54,-20,40,-0.08371629999999186,50.8615651
16,Huddersfield Town,9,10,19,28,58,-30,37,-1.7682517000000644,53.6542822
17,Southampton,7,15,16,37,56,-19,36,-1.3909539999999652,50.9058218
18,Swansea City,8,9,21,28,56,-28,33,-3.9345855000000256,51.6427499
19,Stoke City,7,12,19,35,68,-33,33,-2.176429800000051,52.9881046
20,West Bromwich Albion,6,13,19,31,56,-25,31,-1.9639379999999846,52.509038
