place,team,wins,draws,losses,goals,conceded,goaldif,points,lon,lat
1,Juventus,30,5,3,86,24,62,95,7.64261338029155,45.1109179802915
2,Napoli,28,7,3,77,29,48,91,14.194410080291505,40.8292854802915
3,AS Roma,23,8,7,61,28,33,77,12.456073980291535,41.93542598029149
4,Internazionale,20,12,6,66,30,36,72,9.125310980291488,45.47947258029149
5,Lazio,21,9,8,89,49,40,72,12.454725,41.934077
6,AC Milan,18,10,10,56,42,14,64,9.123962,45.478124
7,Atalanta,16,12,10,57,39,18,60,9.679394,45.0707764
8,Fiorentina,16,9,13,54,46,8,54,11.07641548029153,43.70868558029149
9,Torino,13,15,10,54,46,8,54,7.650052200000005,45.0418233
10,Sampdoria,16,6,16,56,60,-4,54,8.952518999999938,44.4165004
11,Sassuolo,11,10,17,29,59,-30,43,10.64972160000002,44.7145409
12,Genoa,11,8,19,33,43,-10,41,8.952518999999938,44.4165004
13,Chievo Verona,10,10,18,36,59,-23,40,10.968628200000012,45.4353226
14,Udinese,12,4,22,48,63,-15,40,13.19980499999997,46.0814883
15,Bologna,11,6,21,40,52,-12,39,11.309964100000002,44.4922894
16,Cagliari,11,6,21,33,61,-28,39,9.137478399999964,39.19981260000001
17,Spal,8,14,16,39,59,-20,38,11.607966000000033,44.8401734
18,Crotone,9,8,21,40,66,-26,35,17.116660499999966,39.0792915
19,Verona,7,4,27,30,78,-48,25,10.968628200000012,45.4353226
20,Benevento,6,3,29,33,84,-51,21,14.781079999999974,41.1165617
