name,league,rank,prev_rank,off,def,spi
Bayern Munich,German Bundesliga,1,1,3.3,0.5,91.5
Real Madrid,Spanish Primera Division,2,2,3.5,0.7,91.0
Manchester City,Barclays Premier League,3,4,2.9,0.5,90.0
Barcelona,Spanish Primera Division,4,3,3.3,0.7,89.6
Liverpool,Barclays Premier League,5,6,2.9,0.6,88.1
Paris Saint-Germain,French Ligue 1,6,5,2.9,0.7,86.1
Juventus,Italy Serie A,7,7,2.4,0.4,85.5
Atletico Madrid,Spanish Primera Division,8,9,2.1,0.4,82.7
Tottenham Hotspur,Barclays Premier League,9,8,2.5,0.7,82.5
Napoli,Italy Serie A,10,13,2.3,0.6,81.1
AS Roma,Italy Serie A,11,11,2.4,0.6,80.8
Arsenal,Barclays Premier League,12,10,2.8,0.9,80.5
Lazio,Italy Serie A,13,14,2.5,0.8,78.7
Chelsea,Barclays Premier League,14,12,2.3,0.7,78.5
Borussia Dortmund,German Bundesliga,15,17,2.4,0.8,78.0
Atalanta,Italy Serie A,16,20,2.2,0.7,77.8
FC Porto,Portuguese Liga,17,19,2.2,0.7,77.8
Manchester United,Barclays Premier League,18,15,2.1,0.6,77.6
Internazionale,Italy Serie A,19,16,2.2,0.7,77.4
Bayer Leverkusen,German Bundesliga,20,22,2.3,0.8,76.9
Lyon,French Ligue 1,21,18,2.2,0.8,76.7
Valencia,Spanish Primera Division,22,25,2.0,0.6,76.5
Real Sociedad,Spanish Primera Division,23,21,2.3,0.8,76.4
FC Salzburg,Austrian T-Mobile Bundesliga,24,29,2.3,0.8,76.3
TSG Hoffenheim,German Bundesliga,25,26,2.4,0.9,76.1
CSKA Moscow,Russian Premier Liga,26,23,2.0,0.7,75.4
Schalke 04,German Bundesliga,27,28,2.0,0.7,75.3
Marseille,French Ligue 1,28,24,2.2,0.8,75.2
Sevilla FC,Spanish Primera Division,29,32,2.2,0.8,74.8
Benfica,Portuguese Liga,30,27,2.0,0.7,74.6
Shakhtar Donetsk,UEFA Champions League,31,30,2.2,0.8,73.6
Eibar,Spanish Primera Division,32,31,1.7,0.6,72.8
RB Leipzig,German Bundesliga,33,40,2.3,1.0,72.2
Fenerbahce,Turkish Turkcell Super Lig,34,48,2.2,0.9,72.0
Real Betis,Spanish Primera Division,35,34,1.9,0.7,72.0
Getafe,Spanish Primera Division,36,35,1.7,0.6,71.9
Villarreal,Spanish Primera Division,37,36,2.1,0.9,71.8
Espanyol,Spanish Primera Division,38,45,1.7,0.7,71.0
Fiorentina,Italy Serie A,39,33,1.9,0.8,70.7
Athletic Bilbao,Spanish Primera Division,40,38,1.9,0.8,70.2
Eintracht Frankfurt,German Bundesliga,41,37,1.9,0.8,70.2
AS Monaco,French Ligue 1,42,43,2.1,0.9,70.1
VfB Stuttgart,German Bundesliga,43,63,1.8,0.8,70.0
Werder Bremen,German Bundesliga,44,51,1.9,0.8,69.7
Galatasaray,Turkish Turkcell Super Lig,45,47,2.1,1.0,69.7
Besiktas,Turkish Turkcell Super Lig,46,41,2.0,0.9,69.6
AC Milan,Italy Serie A,47,44,1.8,0.8,69.4
Borussia Monchengladbach,German Bundesliga,48,39,2.1,1.0,69.2
Alavés,Spanish Primera Division,49,50,1.8,0.8,68.9
Zenit St Petersburg,Russian Premier Liga,50,67,1.7,0.7,68.4
FC Krasnodar,Russian Premier Liga,51,49,1.8,0.8,68.1
Ajax,Dutch Eredivisie,52,54,2.3,1.2,68.0
Spartak Moscow,Russian Premier Liga,53,42,1.9,0.9,67.8
Celta Vigo,Spanish Primera Division,54,46,2.0,1.0,67.7
